Genus,ND1,ND2,ND3,ND4,ND5,ND6,ND7,ND8,ND9,HFD1,HFD2,HFD3,HFD4,HFD5,HFD6,HFD7,HFD8,HFD9
0dpp length (cm) ,2.64E+00,2.71E+00,2.70E+00,2.62E+00,2.66E+00,2.63E+00,2.68E+00,2.58E+00,2.70E+00,2.4225,2.23E+00,2.56E+00,2.52,2.37E+00,2.36E+00,2.44E+00,2.33E+00,2.38E+00
3dpp length (cm) ,2.838333333,2.845,2.79,3.001428571,2.915555556,2.856666667,2.79,2.993333333,2.898333333,2.732857143,2.675714286,2.584,2.68,2.71,2.718571429,2.794285714,2.68,2.726666667
0dpp fetuses  (g),1.355833333,1.2985,1.330857143,1.198857143,1.290428571,1.3395,1.253428571,1.298666667,1.263833333,1.179,1.167833333,1.153857143,1.222,1.2263,1.205428571,1.229714286,1.129666667,1.192
3dpp fetuses  (g),1.567666667,1.576,1.781285714,2.385714286,2.122888889,2.007166667,1.955,1.935166667,2.027833333,1.532714286,1.333714286,1.458,1.5815,1.7599,1.442857143,1.487857143,1.466,1.560333333
0dpp Diameter (um),389.21,412.7167667,374.1811333,409.2485667,368.7435333,390.6958333,373.6031,393.8343,391.7148333,354.9559667,334.4894,334.8747667,316.1849667,323.3141,371.8689667,343.9306333,333.5260333,311.1753333
3dpp Diameter (um),440.5819,441.6185,467.7173667,419.4502333,438.921,404.6243,442.7009667,457.6894,413.8728333,391.4836,384.3705333,380.6433333,386.6435333,383.8454333,402.9980667,372.1031667,391.9527,406.7629667
0dpp cyst,0.730789,0.8258,0.7824,0.7471,0.8163,0.8008,0.7653,0.8306,0.7361,0.901,0.8307,0.8933,0.8485,0.8671,0.9028,0.8677,0.8476,0.8662
3dpp cyst,0.478339,0.575205,0.580065,0.508741,0.623239,0.499253,0.550669,0.561822,0.558685,0.632479,0.669124,0.738475,0.677575,0.711177,0.789161,0.622801,0.609296,0.716681
0dpp follicule,0.269211,0.1742,0.2176,0.2529,0.1837,0.1992,0.2347,0.1694,0.2639,0.099,0.1603,0.1067,0.1515,0.1329,0.0972,0.1323,0.1524,0.1338
3dpp follicule,0.521661,0.424795,0.419935,0.491259,0.376761,0.500747,0.449331,0.438178,0.441315,0.367521,0.330876,0.261525,0.322425,0.288823,0.210839,0.377199,0.390704,0.283319
Thiamine,8.68E-06,7.86E-06,7.36E-06,8.35E-06,7.52E-06,5.88E-06,6.47E-06,8.91E-06,5.14E-06,0,3.64E-07,4.62E-07,0,6.08E-07,4.40E-08,1.53E-07,1.41E-07,1.14E-07
Biocytin,1.49E-06,2.94E-08,2.89E-07,2.82E-06,6.40E-06,2.97E-06,5.49E-07,1.29E-06,0,0,0,0,0,3.66E-09,0,4.38E-11,0,8.73E-09
(-)-Riboflavin,4.98E-05,5.85E-05,3.87E-05,5.93E-05,8.40E-05,3.96E-05,3.62E-05,5.70E-05,4.34E-05,1.72E-05,4.30E-05,2.42E-05,1.41E-05,2.10E-05,2.02E-05,1.47E-05,1.34E-05,1.80E-05
Retinyl ester,6.73E-06,2.12E-06,3.53E-06,1.83E-05,2.06E-05,7.88E-06,5.51E-06,7.21E-06,4.33E-06,4.27E-07,1.66E-06,9.14E-07,7.49E-07,1.54E-06,1.06E-06,1.26E-06,4.24E-07,0
Dodecanoic acid,1.98E-06,3.95E-06,4.48E-06,1.86E-06,4.83E-07,5.04E-06,8.07E-06,2.45E-06,3.37E-06,6.93E-06,4.99E-06,6.25E-06,4.14E-06,4.70E-06,1.45E-05,6.44E-06,1.11E-05,8.34E-06
Calcitriol,2.39E-05,2.57E-05,2.70E-05,2.87E-05,5.80E-05,5.50E-05,2.15E-05,3.08E-05,6.97E-05,5.65E-05,9.46E-05,5.95E-05,9.00E-05,6.75E-05,3.33E-05,0.000110552,0.00011679,9.24E-05
